,SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
0,11333,304.00,359.99
1,11334,329.00,339.00
2,11335,304.00,315.00
3,11336,334.00,364.99
4,11337,334.00,364.99
5,11338,156.00,278.00
6,11340,949.00,3500.00
7,11342,349.00,499.00
8,11343,228.00,289.99
9,11344,95.00,115.00
10,11345,626.00,699.99
11,11346,499.97,1099.00
12,11347,158.00,1200.00
13,11348,255.00,325.55
14,11349,239.00,249.00
15,11350,225.00,232.89
16,11351,449.98,475.00
17,11352,320.00,411.00
18,11353,349.95,375.00
19,11354,325.00,390.00
21,11355,390.00,399.99
23,11356,250.00,259.99
24,11357,383.00,385.00
25,11358,499.00,650.00
26,11359,119.00,127.00
27,11360,139.00,140.00
28,11361,79.99,127.00
29,11362,132.00,175.00
30,11363,96.95,129.94
31,11364,120.00,139.00
32,11365,425.00,475.00
33,11366,425.00,475.00
34,11367,350.00,443.00
35,11368,395.00,455.00
36,11369,435.00,450.00
37,11370,509.00,525.00
38,11371,873.00,875.00
40,11372,899.00,1050.00
41,11373,398.00,479.00
42,11374,59.00,65.00
43,11376,295.00,304.00
44,11377,185.00,199.00
46,11378,180.00,215.00
48,11379,119.99,162.00
49,11380,158.00,200.00
50,11381,120.00,125.00
51,11382,210.00,217.00
52,11383,312.00,315.00
53,11384,150.00,218.00
54,11385,540.00,599.00
55,11386,125.00,269.98
56,11388,260.00,297.00
57,11389,316.00,354.00
58,11390,189.00,194.99
59,11391,189.00,194.99
60,11392,199.00,239.00
61,11393,159.00,179.95
62,11394,165.00,169.00
63,11395,285.00,311.00
64,11397,171.00,219.99
65,11398,"195,761?","206,947?"
66,11399,189.98,190.00
67,11400,215.00,225.00
69,11401,108.95,109.00
70,11402,162.00,175.00
71,11403,209.00,215.99
73,11404,130.00,155.00
75,11405,269.94,275.00
76,11406,225.00,228.00
77,11407,114.98,119.00
79,11408,163.89,245.00
80,11409,219.00,228.00
81,11410,206.00,209.00
82,11411,129.00,129.98
84,11412,135.00,140.00
85,11413,195.00,198.99
87,11414,45.00,69.00
88,11415,234.00,245.00
89,11416,74.95,144.00
90,11417,525.00,574.95
92,11418,585.00,849.00
93,11419,819.00,825.00
94,11420,407.00,425.00
95,11421,300.00,325.00
96,11422,215.00,219.00
97,11423,188.00,221.00
98,11424,177.00,179.00
100,11425,195.00,197.00
101,11426,159.00,219.00
102,11427,375.00,380.00
103,11428,129.94,133.00
104,11429,200.00,210.00
105,11430,239.00,241.00
106,11431,179.00,235.00
107,11432,199.00,245.00
108,11433,278.00,284.00
109,11434,189.00,202.00
110,11435,399.99,506.75
111,11436,621.00,625.00
114,11437,399.98,400.00
115,11438,500.00,1099.00
117,11439,799.00,875.00
118,11440,399.00,895.00
119,11441,695.00,810.00
120,11442,514.99,750.00
121,11444,550.00,750.00
122,11445,550.00,750.00
123,11446,799.00,889.00
124,11448,898.00,1333.33
131,11449,725.00,750.00
133,11451,845.00,846.00
134,11452,835.00,863.00
135,11453,425.00,435.00
136,11454,899.00,899.99
138,11455,895.99,899.00
139,11456,599.00,633.00
140,11458,392.00,899.99
141,11459,75.00,83.00
142,11460,449.00,450.00
143,11461,459.00,495.00
145,11463,557.00,650.00
146,11464,535.00,560.00
147,11465,789.00,795.00
150,11466,724.99,999.00
151,11467,475.00,495.00
153,11468,480.00,495.00
154,11469,549.99,550.00
155,11470,549.00,575.00
156,11471,549.00,869.00
157,11472,300.00,348.00
158,11473,149.94,149.99
159,11476,185.00,190.00
160,11477,152.00,159.98
161,11478,133.00,140.00
162,11479,389.00,400.00
163,11480,459.00,481.00
164,11481,327.97,345.00
165,11482,139.00,144.95
166,11483,139.00,144.95
167,11484,170.00,195.00
168,11485,170.00,195.00
169,11486,300.00,309.00
170,11487,299.00,309.00
172,11488,175.00,179.00
174,11489,179.99,188.00
175,11491,248.99,275.00
179,11492,123.95,198.98
180,11493,319.00,331.99
181,11494,325.00,350.00
182,11495,139.00,170.00
183,11496,185.00,195.00
184,11497,139.97,230.00
185,11498,109.95,134.00
186,11499,160.00,195.00
187,11500,345.00,375.00
188,11501,137.00,175.00
189,11502,139.00,164.00
190,11503,124.95,135.00
191,11505,175.00,179.00
192,11506,135.00,139.00
193,11507,177.00,185.00
194,11508,999.00,1000.00
195,11509,450.00,475.00
196,11510,315.00,493.00
197,11511,390.00,495.00
198,11512,799.99,825.00
199,11513,495.00,499.00
200,11514,485.00,495.00
201,11515,395.00,475.89
202,11516,450.00,500.00
203,11517,848.00,875.00
205,11518,675.00,789.99
206,11519,200.00,280.00
207,11520,325.00,463.65
208,11522,147.00,159.00
209,11523,190.00,195.00
210,11524,209.99,225.00
211,11525,162.00,169.99
213,11526,288.00,299.00
215,11527,234.95,241.00
216,11528,1099.00,1199.00
217,11529,425.00,500.00
219,11530,449.00,545.00
220,11531,419.99,479.00
221,11532,495.00,499.00
222,11533,449.00,450.00
223,11534,525.00,545.00
224,11535,685.00,695.00
226,11536,685.00,695.00
228,11537,575.00,579.00
229,11539,499.00,538.89
230,11540,250.00,259.00
231,11541,340.00,349.00
232,11542,225.00,234.00
233,11543,199.99,248.00
234,11544,139.00,159.00
235,11545,175.00,188.95
236,11546,127.00,160.00
237,11547,205.00,209.00
238,11548,170.00,177.98
239,11549,170.00,177.98
240,11550,206.00,218.00
241,11551,250.00,275.00
242,11552,475.00,479.00
243,11553,244.95,260.00
244,11554,180.00,215.00
245,11555,269.00,324.00
246,11556,390.00,395.00
247,11557,385.00,399.00
251,11559,139.00,145.00
252,11560,1895.00,2176.00
253,11561,6319.00,7528.89
254,11562,2525.00,2530.00
255,11563,2300.00,2395.00
256,11564,3200.00,3400.00
258,11565,133.13,135.00
260,11566,139.00,165.00
261,11567,119.00,132.00
262,11568,99.00,177.00
263,11570,245.00,250.00
265,11571,190.00,195.00
267,11572,73.00,88.00
268,11573,73.00,88.00
269,11574,224.95,228.00
270,11575,142.00,151.00
271,11576,150.00,152.00
272,11577,129.00,162.00
273,11578,120.00,129.00
275,11579,114.95,129.00
276,11580,152.00,155.00
278,11581,74.98,137.00
279,11582,105.00,149.99
280,11583,209.00,213.00
282,11584,129.99,209.00
283,11585,75.00,81.95
284,11586,139.00,145.00
285,11587,129.00,130.00
286,11588,236.00,249.00
287,11589,155.00,158.00
289,11590,"139,829?","144,304?"
290,11592,158.00,163.00
291,11593,389.00,395.00
292,11594,325.00,329.00
294,11595,99.00,184.94
295,11596,194.94,196.00
296,11597,202.00,219.95
297,11598,169.00,175.00
298,11599,145.00,185.00
299,11600,240.00,247.00
300,11601,182.00,219.65
301,11603,135.00,247.00
302,11604,395.00,449.99
303,11605,430.00,499.99
304,11606,158.00,191.00
305,11607,239.00,329.99
306,11608,333.33,506.00
307,11609,455.00,473.99
308,11610,470.00,475.00
309,11611,152.00,990.00
310,11612,145.00,274.97
311,11613,149.99,166.00
312,11614,109.00,180.00
313,11615,259.99,274.94
314,11616,455.00,459.98
315,11618,299.95,316.00
316,11619,221.00,350.00
317,11620,145.00,152.00
318,11621,215.00,229.00
319,11622,485.00,499.00
320,11624,500.00,525.00
321,11625,750.00,949.00
